radius_m,alpha,max_delta_R_fit_residual_m,max_delta_Z_fit_residual_m,delta_length_fit_residual_over_L,delta_R_phi0_observed_m,delta_R_phi0_quadratic_fit_m,delta_Z_phi0_observed_m,delta_Z_phi0_quadratic_fit_m,delta_length_over_L_observed,delta_length_over_L_quadratic_fit
0.011906558436971536,0.016359225509880067,6.112297062685244e-07,1.4586983765249999e-07,-8.393057893405033e-08,-1.4244082964243177e-06,-1.0381288138031211e-06,0.0,0.0,-3.09183892563818e-07,-2.2525331362976768e-07
0.011906558436971536,0.032718451019760134,1.1571160436302702e-06,2.46716689783087e-07,-1.5918930116772083e-07,-2.7180451456221277e-06,-1.989489946081721e-06,0.0,0.0,-5.905844843552712e-07,-4.3139518318755036e-07
0.011906558436971536,0.06543690203952027,5.550860526552213e-07,1.1033262573475714e-07,-7.672193556224871e-08,-3.980965249006374e-06,-3.6319091660653557e-06,0.0,0.0,-8.630665256494096e-07,-7.863445900871609e-07
0.011906558436971536,0.13087380407904053,1.0658097709863535e-06,2.2471208034113863e-07,1.4685800037023316e-07,-5.20446621199433e-06,-5.8755354277383686e-06,0.0,0.0,-1.1200480746523293e-06,-1.2669060750225624e-06
0.011906558436971536,0.26174760815808107,2.1129201023378493e-07,4.487116064065525e-08,-2.910419246520958e-08,-6.330997957437745e-06,-6.197939237907364e-06,0.0,0.0,-1.3397839219032968e-06,-1.3106797294380872e-06
0.01486784368355039,0.013100896045368505,6.75019365640698e-07,2.8107841909417864e-07,-1.343371712425891e-07,-2.1421469935667403e-06,-1.574870352506655e-06,0.0,0.0,-4.955579484685554e-07,-3.6122077722596633e-07
0.01486784368355039,0.02620179209073701,1.3487790960258524e-06,5.394937315540899e-07,-2.6106695336085753e-07,-4.129884391579353e-06,-3.0178875785185087e-06,0.0,0.0,-9.525010113154116e-07,-6.914340579545541e-07
0.01486784368355039,0.05240358418147402,6.82594306092703e-07,2.663270801960067e-07,-1.3038124042088154e-07,-6.064852557940981e-06,-5.508362651057811e-06,0.0,0.0,-1.3892193703404756e-06,-1.258838129919594e-06
0.01486784368355039,0.10480716836294804,1.2602442479028799e-06,5.016254780891399e-07,2.434879969210187e-07,-7.870253779573844e-06,-8.907075278198796e-06,0.0,0.0,-1.7780683189601127e-06,-2.0215563158811314e-06
0.01486784368355039,0.20961433672589608,2.4868745007247537e-07,9.923380978137855e-08,-4.811924598251825e-08,-9.580384341623116e-06,-9.375550460730296e-06,0.0,0.0,-2.106752101912554e-06,-2.0586328559300358e-06
0.01781148964129694,0.010935754304646661,7.923696568101377e-07,4.969978997018695e-07,-2.0438654194228296e-07,-3.206605766248316e-06,-2.419001724705328e-06,0.0,0.0,-7.920124230714578e-07,-5.876258811291748e-07
0.01781148964129694,0.021871508609293322,1.6558747878320403e-06,1.0123768859791258e-06,-4.1788599596801887e-07,-6.292382296990695e-06,-4.63739121261071e-06,0.0,0.0,-1.5427179098919351e-06,-1.1248319139239163e-06
0.01781148964129694,0.043743017218586644,8.388337587644534e-07,4.979803936694437e-07,-2.0756706258438252e-07,-9.302036708458417e-06,-8.472333478021631e-06,0.0,0.0,-2.2555514970944825e-06,-2.0479844345101e-06
0.01781148964129694,0.08748603443717329,1.533197811621157e-06,9.327886076689117e-07,3.864035159420196e-07,-1.2203940447763628e-05,-1.3734871167244108e-05,0.0,0.0,-2.902847779727249e-06,-3.2892512956692687e-06
0.01781148964129694,0.17497206887434658,3.02054928286237e-07,1.8431524167048904e-07,-7.630008395751484e-08,-1.4932499593278692e-05,-1.4630559179291606e-05,0.0,0.0,-3.4279323818923275e-06,-3.3516322979348126e-06
