method,configuration,surface_method,surface_runtime_s,surface_iterations,surface_converged,solver_converged,cold_runtime_s,steady_runtime_s,peak_memory_mb,sheet_f_B_T2_m2,sheet_max_abs_Bn_over_B,achieved_Kmax_A_per_m,filament_f_B_T2_m2,filament_max_abs_Bn_over_B,minimum_distance_m,self_intersection_radius_m,minimum_jacobian,solver_iterations,solver_max_constraint
ESSOS,Landreman-Paul QA,normal offset,0.0,0,True,True,2.543652041000314,0.438976334000472,1491.671875,0.0003609670064954806,0.0003661592884847261,8917220.581856463,0.2319333443145868,0.011126555734295406,1.3125461977987787,1.8688461640171694,20.10313366145567,,
REGCOIL,Landreman-Paul QA,normal offset,0.0,0,True,True,0.612854791994323,0.08551087499654386,104.046875,0.00036096697096085187,0.00036614379586200627,8917229.208717939,0.23193308465463247,0.011126487753587865,1.3125461977987787,1.8688461640171694,20.10313366145567,,
QUADCOIL,Landreman-Paul QA,normal offset,0.0,0,True,True,16.208381375006866,10.360601584005053,1940.328125,0.0004417640126984252,0.0007805714691557183,8920909.491336362,0.23163975916047552,0.01046575647393964,1.3125461977987787,1.8688461640171694,20.10313366145567,1,-0.20347921800175844
REGCOIL,Landreman-Paul QA,ESSOS entropy,0.8160342500050319,18,True,True,0.5530270000017481,0.06602449998899829,92.9375,0.0006547783110860675,0.0005299039286624489,9426043.797079677,0.2141563960681006,0.009433030674089113,1.373174621747581,1.7526610171049362,19.695572588474544,,
ESSOS,Landreman-Paul QA,ESSOS Pareto,9.075553874994512,24,True,True,2.682772375002969,0.4704579579993151,1474.71875,0.0002665992467930035,0.0003474783725210385,8835376.588449651,0.28656020730258225,0.011306358700850715,1.4000132252229338,1.7422767053584975,20.213138701654128,,
REGCOIL,Landreman-Paul QA,ESSOS Pareto,9.075553874994512,24,True,True,0.5204974579974078,0.06861095900239889,101.171875,0.00026659921225844667,0.0003474463903052335,8835385.534176445,0.28656007877929257,0.011306381505311934,1.4000132252229338,1.7422767053584975,20.213138701654128,,
QUADCOIL,Landreman-Paul QA,ESSOS Pareto,9.075553874994512,24,True,True,6.477877333993092,0.5075397500040708,1884.546875,0.00027704534309250716,0.0003625718333613897,8835692.766421927,0.2865216430252151,0.01126070937444861,1.4000132252229338,1.7422767053584975,20.213138701654128,1,-0.218612141876005
REGCOIL,Landreman-Paul QA,REGCOIL adjoint,17.572709707994363,5,True,True,0.5103331249993062,0.04591395800525788,99.0625,0.0003489407830205704,0.0003568383584740912,8840410.71687883,0.23256757174459386,0.0111609336526458,1.3225882332668604,1.9009174388514165,20.083385334877867,,
ESSOS,W7-X,normal offset,0.0,0,True,True,2.8692896660068072,1.4511925420083571,2304.3125,4.500883703408207,0.2340292459083963,9993068.528194577,4.512761246744417,0.23483634655279664,0.44729848804908345,0.04165360374187564,0.2272098481379016,,
REGCOIL,W7-X,normal offset,0.0,0,True,True,0.6298706249945099,0.08122629098943435,125.28125,4.496446683092342,0.23393111446973544,10000000.000000032,4.508321114476365,0.23473831781622323,0.44729848804908345,0.04165360374187564,0.2272098481379016,,
QUADCOIL,W7-X,normal offset,0.0,0,True,False,448.9245072499907,nan,706.53125,0.05149247065097161,0.025727299103659788,13231003.466301981,0.05206913524443954,0.02566642361473514,0.4950632062683899,0.13048362379850767,0.5363711740358782,500,0.7526979889225364
REGCOIL,W7-X,ESSOS entropy,1.3973833749914775,15,True,True,0.528735375002725,0.07211020799877588,111.0625,7.119007399448068,0.27073469072636863,9999999.999995885,7.133111089121396,0.27139936106373386,0.4369435913693559,0.047522448370841255,0.1333340517627275,,
ESSOS,W7-X,ESSOS Pareto,39.24367224999878,71,True,True,3.1886012500035577,1.343843750000815,2415.09375,0.6332355376090449,0.10414590115077516,9993068.364142977,0.6386939937247496,0.10523582529167103,0.4410208779143191,0.054737419770971185,0.5646969103434087,,
REGCOIL,W7-X,ESSOS Pareto,39.24367224999878,71,True,True,0.5720473749970552,0.08612391600036062,121.0625,0.6316522846625989,0.10403854799231095,10000000.000000026,0.6371071432483688,0.10512858090143755,0.4410208779143191,0.054737419770971185,0.5646969103434087,,
QUADCOIL,W7-X,ESSOS Pareto,6.288383375009289,73,True,False,364.49884987500263,nan,728.421875,0.053437875796234706,0.0253789964767224,9989657.634972092,0.056903231646197344,0.03608976280108165,0.44622401450773536,0.10334187686408736,0.6378527637123966,402,6.242242481201976e-07
REGCOIL,W7-X,REGCOIL adjoint,2.8176061249978375,10,True,True,0.5980908340134192,0.07062254101037979,118.171875,7.9732377838071695,0.2736221901209074,10000000.000009747,7.988010744284447,0.274243636825842,0.43746843813563246,0.04204392946295886,0.1041344080961024,,
