configuration,method,runtime_s,evaluation_time_s,evaluations,iterations,converged,message,active_at_bound,sheet_f_B_T2_m2,sheet_max_abs_Bn_over_B,sheet_f_K_A2,sheet_rms_K_A_per_m,achieved_Kmax_A_per_m,filament_f_B_T2_m2,filament_max_abs_Bn_over_B,mean_coil_length_m,mean_integrated_curvature2_per_m,maximum_coil_curvature_per_m,coils
QA,normal offset,0.0,0.0,0,0,True,baseline,0,0.0003746091886034849,0.0004185365967624172,3.937115487670725e+16,4956366.526626078,8922864.731859675,145.3267772386244,0.1834037144344231,24.1642099576221,0.10218994207184273,0.586462893421438,16
QA,entropy + strength,0.7044484169746283,0.01621229201555252,46,43,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,0.0006673480490422855,0.0005698836070829946,3.93564208002808e+16,4952905.135246238,9428871.575497411,145.51698150741004,0.17466302084876928,24.137061960963123,0.10741800946759453,0.6890865908939562,16
QA,entropy,0.5829186250048224,0.015199916990241036,38,32,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,0.0006743891072299876,0.000575476550063789,3.937349777853926e+16,4954028.839072247,9453955.285272656,145.5637654480932,0.17407405429393527,24.13955021943869,0.10732037878391483,0.6922998462624166,16
QA,symmetric entropy,0.19895508300396614,0.0056099999928846955,36,32,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,0.0006742888487195513,0.0005757069439354004,3.937490022088644e+16,4954117.698472791,9453582.337930974,145.55222727410313,0.1741997322317532,24.140073759133827,0.10732868790501138,0.6932462961363008,16
QH,normal offset,0.0,0.0,0,0,True,baseline,0,25.199291771057762,0.06434329535552157,6.028481537677759e+16,4974634.01193084,10000000.000000427,113.38726837520767,0.1334062152927558,22.442387051976688,0.11070315622501062,0.8732035792229319,32
QH,entropy + strength,0.8725689999992028,0.03254304197616875,26,17,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,16.90521978410782,0.049863657962975816,5.967494062441951e+16,4937712.8499240335,10000000.0,99.90188727666826,0.1165364877448377,22.359998290592017,0.11705780047400546,0.8811500815754786,32
QH,entropy,1.3521712919755373,0.03247095801634714,41,37,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,19.048260961532705,0.05551638558430933,5.971838503824716e+16,4941158.449049498,9999999.999992097,102.5246906216502,0.11407539504113746,22.36220617103823,0.116000512682431,0.8010745900631295,32
QH,symmetric entropy,0.2882232920092065,0.008273374987766147,35,30,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,18.78588458675534,0.05514666524047573,5.9720558686203e+16,4941206.104800019,10000000.000000006,102.22599681758614,0.11383386969812177,22.361923713621106,0.11621436405122804,0.7996752393449081,32
QI,normal offset,0.0,0.0,0,0,True,baseline,0,13.099346508464816,0.07749308948419029,7.708667845605958e+16,6827149.570411219,10000000.000000002,1460.3124067275812,0.7002469812151549,17.69931594059998,0.41811859732715284,4.563240162114756,16
QI,entropy + strength,0.5196911250241101,0.01563700000406243,32,29,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,11.445077310824825,0.06780165121356783,7.750559059118405e+16,6825316.799094761,10000000.0,1485.7472942975528,0.5673164944059086,17.800201151661618,0.3934377839487848,3.6466872917200246,16
QI,entropy,0.4106966669787653,0.0174349169828929,26,24,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,10.275333089689997,0.06736327295604748,7.759934334652589e+16,6832963.958732446,10000000.0,1514.666480499959,0.5755251153248911,17.79111979841263,0.38949493641288213,3.312940185136618,16
QI,symmetric entropy,0.1782587500056252,0.005709958990337327,31,28,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,10.252862423242842,0.0673423738900706,7.759924666781814e+16,6832948.745718959,9999999.999999998,1514.5430592146463,0.5757730876388071,17.791157968845,0.3899899351002947,3.315308706911046,16
