method,configuration,surface_method,surface_runtime_s,surface_iterations,surface_converged,solver_converged,cold_runtime_s,steady_runtime_s,peak_memory_mb,sheet_f_B_T2_m2,sheet_max_abs_Bn_over_B,achieved_Kmax_A_per_m,filament_f_B_T2_m2,filament_max_abs_Bn_over_B,minimum_distance_m,self_intersection_radius_m,minimum_jacobian,solver_iterations,solver_max_constraint,solver_status
ESSOS,Landreman-Paul QA,normal offset,0.0,0,True,True,2.636455708008725,0.5152867079887073,1286.15625,0.0003609670064954806,0.0003661592884847261,8917220.581856463,1.940429649729142,0.02875142063863766,1.3125461977987787,1.8688461640171694,20.10313366145567,,,
REGCOIL,Landreman-Paul QA,normal offset,0.0,0,True,True,0.6242151249898598,0.07795941701624542,85.734375,0.00036096697096085187,0.00036614379586200627,8917229.208717939,1.9404292256192877,0.028751349655564314,1.3125461977987787,1.8688461640171694,20.10313366145567,,,
QUADCOIL,Landreman-Paul QA,normal offset,0.0,0,True,True,17.61366537498543,10.805216916982317,1545.78125,0.0004417640126984252,0.0007805714691557183,8920909.491336362,1.9402026213105041,0.028185888974145493,1.3125461977987787,1.8688461640171694,20.10313366145567,1,-0.20347921800175844,
REGCOIL,Landreman-Paul QA,ESSOS entropy,0.8160342500050319,18,True,True,0.540945874992758,0.2307440000004135,87.828125,0.0006547783110860675,0.0005299039286624489,9426043.797079677,1.8733452135471318,0.025461617679134862,1.373174621747581,1.7526610171049362,19.695572588474544,,,
ESSOS,Landreman-Paul QA,ESSOS Pareto,9.075553874994512,24,True,True,2.590699708001921,0.677628207980888,1132.34375,0.0002665992467930035,0.0003474783725210385,8835376.588449651,2.245008972588825,0.02827047840778362,1.4000132252229338,1.7422767053584975,20.213138701654128,,,
REGCOIL,Landreman-Paul QA,ESSOS Pareto,9.075553874994512,24,True,True,0.6153072500019334,0.0742022090125829,92.296875,0.00026659921225844667,0.0003474463903052335,8835385.534176445,2.245009086555579,0.028270493451390707,1.4000132252229338,1.7422767053584975,20.213138701654128,,,
QUADCOIL,Landreman-Paul QA,ESSOS Pareto,9.075553874994512,24,True,True,6.7851329169934615,0.4871995839930605,1658.6875,0.00027704534309250716,0.0003625718333613897,8835692.766421927,2.2450618977318384,0.02824010384045372,1.4000132252229338,1.7422767053584975,20.213138701654128,1,-0.218612141876005,
REGCOIL,Landreman-Paul QA,REGCOIL adjoint,17.572709707994363,5,True,True,0.5225004590174649,0.09421554201981053,100.203125,0.0003489407830205704,0.0003568383584740912,8840410.71687883,1.9419801360580706,0.02851529832054716,1.3225882332668604,1.9009174388514165,20.083385334877867,,,
ESSOS,Landreman-Paul QH,normal offset,0.0,0,True,True,2.9973271249909885,1.1978338749904651,1758.09375,25.19960408977264,0.06434393464319002,9999983.965276398,26.074884907409952,0.06446632698291038,1.5940958887906893,1.2735094403701737,20.754516316158472,,,
REGCOIL,Landreman-Paul QH,normal offset,0.0,0,True,True,0.5713217080046888,0.20378720900043845,103.59375,25.199295363394498,0.06434355557479786,9999999.999999892,26.07457491312679,0.0644659442872467,1.5940958887906893,1.2735094403701737,20.754516316158472,,,
