configuration,surface_method,method,resolution,sheet_f_B_T2_m2,achieved_Kmax_A_per_m
Landreman-Paul QA,normal offset,ESSOS,48,0.0003609670064954806,8917220.581856463
Landreman-Paul QA,normal offset,ESSOS,56,0.0004279579502990934,8917465.423015088
Landreman-Paul QA,normal offset,ESSOS,64,0.00045031441302984107,8912721.96081288
Landreman-Paul QA,normal offset,REGCOIL,48,0.00036096697096085187,8917229.208717939
Landreman-Paul QA,normal offset,REGCOIL,56,0.0004279481145732434,8917474.10198337
Landreman-Paul QA,normal offset,REGCOIL,64,0.0004503030500106441,8912730.255913703
Landreman-Paul QA,normal offset,QUADCOIL,48,0.0004417640126984252,8920909.491336362
Landreman-Paul QA,normal offset,QUADCOIL,56,0.00037457237771193637,8921414.778010793
Landreman-Paul QA,normal offset,QUADCOIL,64,0.00037483544624565405,8916230.128288416
Landreman-Paul QA,ESSOS entropy,REGCOIL,48,0.0006547783110860675,9426043.797079677
Landreman-Paul QA,ESSOS entropy,REGCOIL,56,0.0006920645654716888,9434967.398341289
Landreman-Paul QA,ESSOS entropy,REGCOIL,64,0.0007008598139530915,9423411.265987104
Landreman-Paul QA,ESSOS Pareto,ESSOS,48,0.0002665992467930035,8835376.588449651
Landreman-Paul QA,ESSOS Pareto,ESSOS,56,0.00027838380091599725,8824104.288215125
Landreman-Paul QA,ESSOS Pareto,ESSOS,64,0.0002802244545447816,8828539.8901486
Landreman-Paul QA,ESSOS Pareto,REGCOIL,48,0.00026659921225844667,8835385.534176445
Landreman-Paul QA,ESSOS Pareto,REGCOIL,56,0.00027838180369646514,8824113.169834735
Landreman-Paul QA,ESSOS Pareto,REGCOIL,64,0.0002802226053014603,8828548.919296987
Landreman-Paul QA,ESSOS Pareto,QUADCOIL,48,0.00027704534309250716,8835692.766421927
Landreman-Paul QA,ESSOS Pareto,QUADCOIL,56,0.0002723539929133705,8824346.893235514
Landreman-Paul QA,ESSOS Pareto,QUADCOIL,64,0.0002719027372448868,8828909.982245356
Landreman-Paul QA,REGCOIL adjoint,REGCOIL,48,0.0003489407830205704,8840410.71687883
Landreman-Paul QA,REGCOIL adjoint,REGCOIL,56,0.00041538410151092703,8846054.023743138
Landreman-Paul QA,REGCOIL adjoint,REGCOIL,64,0.00043803949563523705,8835630.860886686
Landreman-Paul QH,normal offset,ESSOS,48,25.19960408977264,9999983.965276398
Landreman-Paul QH,normal offset,ESSOS,56,25.199651054103107,9999983.965276398
Landreman-Paul QH,normal offset,ESSOS,64,25.199659139616834,9999983.965276398
Landreman-Paul QH,normal offset,REGCOIL,48,25.199295363394498,9999999.999999892
Landreman-Paul QH,normal offset,REGCOIL,56,25.199342327181242,9999999.999999892
Landreman-Paul QH,normal offset,REGCOIL,64,25.19935041258937,9999999.999999892
Landreman-Paul QH,ESSOS entropy,REGCOIL,48,17.481663433923472,10000000.000000007
Landreman-Paul QH,ESSOS entropy,REGCOIL,56,17.481622562732554,10000000.000000007
Landreman-Paul QH,ESSOS entropy,REGCOIL,64,17.481631462764895,10000000.000000007
Landreman-Paul QH,ESSOS Pareto,ESSOS,48,6.263377237955128,9999984.018176878
Landreman-Paul QH,ESSOS Pareto,ESSOS,56,6.263403851421026,9999984.018176878
Landreman-Paul QH,ESSOS Pareto,ESSOS,64,6.2634016083742505,9999984.018176878
Landreman-Paul QH,ESSOS Pareto,REGCOIL,48,6.26326837786259,10000000.0
Landreman-Paul QH,ESSOS Pareto,REGCOIL,56,6.263294991344825,10000000.0
Landreman-Paul QH,ESSOS Pareto,REGCOIL,64,6.263292748295791,10000000.0
Landreman-Paul QH,REGCOIL adjoint,REGCOIL,48,17.924533103660707,10000000.0
Landreman-Paul QH,REGCOIL adjoint,REGCOIL,56,17.92456457215225,10000000.0
Landreman-Paul QH,REGCOIL adjoint,REGCOIL,64,17.924569309732036,10000000.0
W7-X,normal offset,ESSOS,48,4.500883703408207,9993068.528194577
W7-X,normal offset,ESSOS,56,4.500917193908677,12252242.316055976
W7-X,normal offset,ESSOS,64,4.500919467241367,13030573.324903667
W7-X,normal offset,REGCOIL,48,4.496446683092342,10000000.000000032
W7-X,normal offset,REGCOIL,56,4.496480097962884,12260797.245144255
W7-X,normal offset,REGCOIL,64,4.496482363441936,13040320.17856318
W7-X,ESSOS entropy,REGCOIL,48,7.119007399448068,9999999.999995885
W7-X,ESSOS entropy,REGCOIL,56,7.119115457295366,6516545.778913745
W7-X,ESSOS entropy,REGCOIL,64,7.119138091248577,7233411.691148505
W7-X,ESSOS Pareto,ESSOS,48,0.6332355376090449,9993068.364142977
W7-X,ESSOS Pareto,ESSOS,56,0.6332355612535248,10771026.231231004
W7-X,ESSOS Pareto,ESSOS,64,0.6332355628225674,11153668.515313711
W7-X,ESSOS Pareto,REGCOIL,48,0.6316522846625989,10000000.000000026
W7-X,ESSOS Pareto,REGCOIL,56,0.6316523082862766,10779049.796203548
W7-X,ESSOS Pareto,REGCOIL,64,0.6316523098530427,11161822.608252108
W7-X,REGCOIL adjoint,REGCOIL,48,7.9732377838071695,10000000.000009747
W7-X,REGCOIL adjoint,REGCOIL,56,7.973285818365006,6171080.908271228
W7-X,REGCOIL adjoint,REGCOIL,64,7.9732963813677635,6966533.886594416
